1;La liste de tous les déguisements avec tous leurs attributs.;SELECT * FROM deguisement;False;False
1;La liste de toutes les personnes, avec tous leurs attributs.;SELECT * FROM personne;False;False
1;La liste de toutes les soirées, avec tous leurs attributs.;SELECT * FROM soiree;False;False
2;La liste des villes où il y a une soirée, sans doublons.;SELECT DISTINCT lieu FROM soiree;False;True
2;La liste des magasins de déguisements, sans doublons.;SELECT DISTINCT nommag FROM vendre;False;True
2;La liste des avatars représentés en soirée, sans doublons.;SELECT DISTINCT avatar FROM participe;False;True
3;La liste des modèles de déguisements qui sont disponibles en taille XS.;SELECT DISTINCT modele FROM vendre WHERE taille = 'XS';False;False
3;La liste des magasins qui vendent le costume bat5.;SELECT DISTINCT nommag FROM vendre WHERE modele = 'bat5';False;False
3;L'avatar représenté par le costume dar12.;SELECT avatar FROM deguisement WHERE modele = 'dar12';False;False
4;La liste des modèles de déguisements que l'on peut acheter pour moins de 24 euros.;SELECT DISTINCT modele FROM vendre WHERE prix < 24;False;False
4;La liste des soirées qui peuvent accueillir au moins 70 personnes.;SELECT * FROM soiree WHERE nbmax >= 70;False;False
4;La liste des personnes qui mesurent moins de 1m50.;SELECT * FROM personne WHERE taille < 150;False;False
5;La personne la plus jeune inscrite dans la base de données.;SELECT * FROM personne ORDER BY age LIMIT 1;False;True
5;La personne la plus âgée inscrite dans la base de données.;SELECT * FROM personne ORDER BY age DESC LIMIT 1;False;True
5;La personne la plus petite (en taille) inscrite dans la base de données.;SELECT * FROM personne ORDER BY taille LIMIT 1;False;True
5;La personne la plus grande (en taille) inscrite dans la base de données.;SELECT * FROM personne ORDER BY taille DESC LIMIT 1;False;True
6;La liste des personnes (surnom, nom, prenom, age) d'au moins 25 ans qui ont participé à une soirée déguisées en Daenerys.;SELECT DISTINCT surnom, nom, prenom, age FROM personne NATURAL JOIN participe WHERE avatar = 'Daenerys' AND age >= 25;False;False
6;La liste des magasins (nommag) qui vendent un costume de Anna en taille XS.;SELECT DISTINCT nommag FROM vendre NATURAL JOIN deguisement WHERE avatar = 'Anna' AND taille = 'XS';False;False
6;La liste des personnes (surnom) qui sont allées à une soirée à Paris en étant déguisées en Jon Snow.;SELECT DISTINCT surnom FROM participe NATURAL JOIN soiree WHERE lieu = 'Paris' AND avatar = 'Jon Snow';False;False
7;Les personnes (surnom, nom, prenom) qui ont organisé au moins une soirée à Marseille.;SELECT DISTINCT surnom, nom, prenom FROM personne JOIN soiree ON surnom = organisateur WHERE lieu = 'Marseille';False;False
7;Les personnes (surnom) qui participent à une soirée qu'elles ont elles-mêmes organisée.;SELECT DISTINCT surnom FROM soiree NATURAL JOIN participe WHERE organisateur = surnom;False;False
7;Les personnes (surnom, prenom, nom) qui sont allées à une soirée (idS) déguisées en un personnage portant leur prénom.;SELECT surnom, prenom, nom, idS FROM participe NATURAL JOIN personne WHERE prenom = avatar;False;False
8;Les personnes (surnom, nom, prenom) qui sont allées à une soirée sans porter de déguisement.;SELECT DISTINCT surnom, nom, prenom FROM personne NATURAL JOIN participe WHERE avatar IS NULL;False;False
8;Les soirées (idS, lieu, date) où au moins une personne ne porte pas de déguisement.;SELECT DISTINCT ids, lieu, date FROM soiree NATURAL JOIN participe WHERE avatar IS NULL;False;False
9;Les personnes (surnom, nom, prenom) qui se sont déguisées au moins une fois en Elsa et au moins une fois en Anna.;SELECT surnom, nom, prenom FROM participe NATURAL JOIN personne WHERE avatar = 'Elsa' INTERSECT SELECT surnom, nom, prenom FROM participe NATURAL JOIN personne WHERE avatar = 'Anna';False;False
9;Les personnes (surnom, nom, prenom) qui ont participé à la fois à une soirée à Marseille et à une soirée à Paris.;SELECT surnom, nom, prenom FROM personne NATURAL JOIN soiree NATURAL JOIN participe WHERE lieu = 'Marseille' INTERSECT SELECT surnom, nom, prenom FROM personne NATURAL JOIN soiree NATURAL JOIN participe WHERE lieu = 'Paris';False;False
